Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.3.25 MIA v LAC Team,2813.000994472320,9.09953767200659,Miami Heat,46,,,,"+ve Driving: Paint Touch, +ve Driving: Physicality","+ve Finishing: Read the Length, +ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction",Short 2,Made,4z5,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2848.5042949206300,8.797581246714800,Miami Heat,47,,,+ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Fill Behind,,3pt,Miss Short,8z10,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2908.2030333309500,12.598884711005700,Miami Heat,48,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,,,+ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away",Short 2,Miss Long,5z7,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2917.900847578940,5.399960213721900,Miami Heat,49,,,,,-ve Finishing: Read the Length,,,,,-ve QB12: Fill Behind,,Deep 2,Miss Short,4z6,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,2944.901364569610,12.69856789604640,Miami Heat,50,,-ve Cutting & Screening: Cut Fill,+ve DM Catch: Back-to-Back,+ve Driving: Paint Touch,+ve Finishing: Read the Length,-ve Footwork: Step to Ball,,,-ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Fill Behind, +ve Relocate: 45 Cut, -ve Relocate: Fill Behind",Short 2,Made,5z7,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,3156.600197550990,13.602615124333600,Miami Heat,51,,-ve Cutting & Screening: Denial,,,,,,,,,,,,,,,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,3196.7987302230000,9.200919170310040,Miami Heat,52,,,+ve DM Catch: Drive a Swing/Skip Pass,,-ve Finishing: Ball Security,,,,,"+ve QB12: Strong Side, +ve QB12: Strong Side",,,,,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,3216.1026710410100,9.098124305647620,Miami Heat,53,,-ve Cutting & Screening: Principle,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction",Short 2,Made,5z7,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,3269.703552211940,12.100963950749200,Miami Heat,54,,"-ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Denial",,"+ve Driving: Paint Touch, +ve Driving: Physicality","-ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,,,-ve Positioning - Create Shape,,,Short 2,Miss Short,5z7,"-ve Space Read: Live Dribble, +ve Space Read: Live Dribble",+ve Transition: Effort and Pace,"Neutral, Match 1, Q0, Stat, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,3294.6999966173400,16.700013019660700,Miami Heat,55,,"-ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,+ve Driving: Paint Touch,"-ve Finishing: Stride Pivot, -ve Finishing: Read the Length",-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,,-ve Relocate: 45 Cut,Short 2,Miss Short,4z8,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
