Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.17.25 MIA v NYK Team,3251.578028776660,14.300939187327900,Miami Heat,52,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Denial",+ve DM Catch: Back-to-Back,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Fill Behind","-ve Relocate: Weak Corner, +ve Relocate: Reverse Direction, +ve Relocate: Fill Behind, +ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut",Short 2,Made,5z5,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3276.5787364402600,12.499323691352400,Miami Heat,53,,,+ve DM Catch: Uncontested Shot,,,,,,,"+ve QB12: Strong Side, +ve QB12: Strong Side",,3pt,Made,11z5,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3330.2778588136300,9.0972869767038,Miami Heat,54,,,,+ve Driving: Paint Touch,"-ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,-ve QB12: Weak Side,,Short 2,Miss Long,5z5,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3355.0766063216200,8.188393678382910,Miami Heat,55,,,,,,,,,,,,,,,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3377.4783102386200,7.797460748712180,Miami Heat,56,,,+ve DM Catch: Uncontested Shot,,,,,,,"+ve QB12: Baseline, +ve QB12: Strong Side",,3pt,Made,9z10,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3416.178517247950,11.498949039979800,Miami Heat,57,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away, -ve Relocate: Weak Corner",Deep 2,Made,4z6,"+ve Space Read: Live Dribble, -ve Space Read: Catch",,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3505.717098165970,20.161097744718100,Miami Heat,58,,+ve Cutting & Screening: Denial,"+ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing",+ve Driving: Paint Touch,+ve Finishing: Read the Length,-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Strong Side","+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away, +ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut, -ve Relocate: Slide Away, +ve Relocate: Reverse Direction",Short 2,Miss Long,5z7,"-ve Space Read: Catch, +ve Space Read: Live Dribble, -ve Space Read: Live Dribble",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3538.4785353516900,16.199146973272000,Miami Heat,59,,,+ve DM Catch: Uncontested Shot,,,,+ve Passing: Teammate on the Move,,,+ve QB12: Strong Side,"+ve Relocate: Slide Away, +ve Relocate: Dunker- Baseline Cut",3pt,Made,10z2,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3743.4593753789600,14.498651190009700,Miami Heat,60,,,,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,,,Short 2,Made,5z7,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,3784.059580304330,10.500344824986300,Miami Heat,61,,,+ve DM Catch: Drive a Swing/Skip Pass,-ve Driving: Paint Touch,"-ve Finishing: Earn a Foul, -ve Finishing: Read the Length",,,,,-ve QB12: Strong Side,,Short 2,Miss Long,6z7,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
