Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped
10.12.25 MIA v ORL Team,5467.632195599320,19.49524898568050,Miami Heat,81,,,+ve DM Catch: Drive Pass,+ve Driving: Paint Touch,,-ve Footwork: Patient Pickup,+ve Passing: Teammate on the Move,,,+ve QB12: Strong Side,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Miss Long,5z5,-ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5502.826575986990,15.099932921006300,Miami Heat,82,,+ve Cutting & Screening: Movement,"-ve DM Catch: Uncontested Shot, -ve DM Catch: Swing",+ve Driving: Paint Touch,,,,,,+ve QB12: Strong Side,,3pt,Miss Short,4z1,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5750.72694081064,9.99819594534074,Miami Heat,83,,-ve Cutting & Screening: Principle,,+ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,-ve QB12: Fill Behind,"+ve Relocate: Weak Corner, +ve Relocate: Fill Behind",,,,,,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5794.02273591665,4.5019881856533200,Miami Heat,84,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5797.526684440990,17.50085166399910,Miami Heat,85,,+ve Cutting & Screening: Cut Fill,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,+ve Passing: Teammate on the Move,,-ve Positioning - Create Shape,+ve QB12: Cutter,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away, +ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Miss Long,6z7,"+ve Space Read: Live Dribble, -ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5829.027237604330,15.09815731798240,Miami Heat,86,,-ve Cutting & Screening: Denial,+ve DM Catch: Drive a Swing/Skip Pass,,-ve Finishing: Read the Length,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Fill Behind, +ve QB12: Cutter",+ve Relocate: Weak Corner,Short 2,Miss Short,4z4,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5909.824921145990,11.599666168662200,Miami Heat,87,,+ve Cutting & Screening: Principle,,,,,-ve Passing: Read the Length,,,,+ve Relocate: Weak Corner,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,5941.327712060000,14.080352105997900,Miami Heat,88,,,,,,,,,,,,,,,+ve Space Read: Live Dribble,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,6033.328242524960,8.799466115375250,Miami Heat,89,,,+ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Strong Side,,3pt,Miss Short,8z11,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,6039.728702897320,5.998885787672410,Miami Heat,90,,,,,+ve Finishing: Stride Pivot,,,,,,,Short 2,Miss Short,6z7,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
